Timestamp            Digit      Confidence   Gesture Description
------------------------------------------------------------
2025-05-03 23:11:36  0          83.65%      Closed fist
2025-05-03 23:11:38  0          93.36%      Closed fist
2025-05-03 23:11:40  2          80.78%      Index and middle fingers extended
2025-05-03 23:11:42  0          89.72%      Closed fist
2025-05-03 23:11:45  0          82.59%      Closed fist
2025-05-03 23:11:46  0          81.96%      Closed fist
2025-05-03 23:11:46  0          82.32%      Closed fist
2025-05-03 23:11:46  0          94.28%      Closed fist
2025-05-03 23:11:46  0          96.07%      Closed fist
2025-05-03 23:11:47  0          89.01%      Closed fist
2025-05-03 23:11:47  0          97.07%      Closed fist
2025-05-03 23:11:47  0          97.82%      Closed fist
2025-05-03 23:11:47  0          95.43%      Closed fist
2025-05-03 23:11:47  0          96.68%      Closed fist
2025-05-03 23:11:48  0          98.55%      Closed fist
2025-05-03 23:11:48  0          97.16%      Closed fist
2025-05-03 23:11:48  0          87.12%      Closed fist
2025-05-03 23:11:50  0          87.78%      Closed fist
2025-05-03 23:11:52  8          91.08%      Thumb, index, and pinky extended
2025-05-03 23:11:54  8          84.21%      Thumb, index, and pinky extended
2025-05-03 23:11:55  8          80.10%      Thumb, index, and pinky extended
2025-05-03 23:11:55  2          80.35%      Index and middle fingers extended
2025-05-03 23:12:07  8          85.46%      Thumb, index, and pinky extended
2025-05-03 23:12:08  8          82.16%      Thumb, index, and pinky extended
2025-05-03 23:12:08  8          94.26%      Thumb, index, and pinky extended
2025-05-03 23:12:08  8          92.01%      Thumb, index, and pinky extended
2025-05-03 23:12:22  5          97.44%      All fingers extended, palm open
2025-05-03 23:12:22  5          98.53%      All fingers extended, palm open
2025-05-03 23:12:23  5          98.55%      All fingers extended, palm open
2025-05-03 23:12:23  5          98.20%      All fingers extended, palm open
2025-05-03 23:12:23  5          97.07%      All fingers extended, palm open
2025-05-03 23:12:23  5          97.22%      All fingers extended, palm open
2025-05-03 23:12:23  5          98.24%      All fingers extended, palm open
2025-05-03 23:12:24  5          94.50%      All fingers extended, palm open
2025-05-03 23:12:24  5          99.20%      All fingers extended, palm open
2025-05-03 23:12:24  5          99.77%      All fingers extended, palm open
2025-05-03 23:12:24  5          99.71%      All fingers extended, palm open
2025-05-03 23:12:24  5          99.79%      All fingers extended, palm open
2025-05-03 23:12:25  5          99.84%      All fingers extended, palm open
